Id,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,SalePrice
190,Ex,TA,Av,GLQ,1153,Unf,0,440,1593,1,0,1,1,0,1,Ex,5,Attchd,2001.0,Fin,2,682,TA,TA,286000
191,Gd,Gd,No,Rec,297,Unf,0,556,853,0,0,2,1,3,1,Gd,10,Detchd,1932.0,Unf,2,440,TA,TA,315000
192,TA,TA,No,ALQ,626,Unf,0,99,725,1,0,1,1,4,1,Gd,7,Attchd,1972.0,Fin,2,484,TA,TA,184000
193,Gd,TA,Av,GLQ,560,Unf,0,871,1431,1,0,2,0,3,1,Gd,6,Attchd,1999.0,Fin,2,666,TA,TA,192000
194,Gd,TA,No,Unf,0,Unf,0,970,970,0,0,2,0,3,1,Gd,7,Detchd,2004.0,Unf,2,380,TA,TA,130000
195,TA,TA,Av,ALQ,390,Unf,0,474,864,0,0,1,0,3,1,TA,5,Detchd,1989.0,Unf,1,352,TA,TA,127000
196,Gd,TA,No,ALQ,566,Unf,0,289,855,0,0,2,1,3,1,TA,7,Attchd,1976.0,Unf,2,440,TA,TA,148500
197,Ex,TA,No,GLQ,1126,Unf,0,600,1726,1,0,2,0,3,1,Ex,8,Attchd,2007.0,Fin,3,786,TA,TA,311872
198,TA,TA,No,GLQ,1036,LwQ,184,140,1360,1,1,2,0,4,1,Gd,8,Detchd,1918.0,Unf,2,795,TA,TA,235000
199,TA,TA,No,Unf,0,Unf,0,755,755,0,0,1,0,5,1,TA,8,,,,0,0,,,104000
200,Ex,TA,Av,GLQ,1088,Unf,0,625,1713,1,0,2,0,3,1,Ex,7,Attchd,2004.0,Fin,3,856,TA,TA,274900
201,Gd,TA,No,Unf,0,Unf,0,1121,1121,0,0,2,0,2,1,TA,5,Attchd,2003.0,RFn,2,440,TA,TA,140000
202,TA,TA,No,ALQ,641,LwQ,279,276,1196,0,1,2,0,3,1,TA,6,Detchd,1980.0,Unf,2,473,TA,TA,171500
203,Fa,TA,No,LwQ,617,Unf,0,0,617,0,0,2,0,2,1,TA,6,Attchd,1924.0,Unf,1,398,TA,TA,112000
204,Gd,TA,Av,GLQ,662,Unf,0,186,848,1,0,1,0,1,1,Gd,3,Attchd,2004.0,RFn,2,420,TA,TA,149000
205,TA,TA,No,LwQ,312,Unf,0,408,720,0,0,1,1,2,1,TA,5,Detchd,1948.0,Unf,1,240,TA,TA,110000
206,Gd,TA,No,Unf,0,Unf,0,1424,1424,0,0,2,0,3,1,TA,5,Attchd,1990.0,RFn,2,500,TA,TA,180500
207,TA,TA,No,Unf,0,Unf,0,1140,1140,0,0,1,1,3,1,TA,8,Attchd,1962.0,RFn,1,349,TA,TA,143900
208,TA,TA,No,ALQ,419,Rec,306,375,1100,1,0,1,0,3,1,TA,6,Attchd,1960.0,RFn,1,312,TA,TA,141000
209,Gd,TA,Gd,GLQ,1065,Unf,0,92,1157,1,0,2,1,3,1,TA,7,Attchd,1988.0,Fin,2,454,TA,TA,277000
210,Gd,TA,No,Rec,787,Unf,0,305,1092,1,0,1,0,3,1,TA,6,Attchd,1964.0,RFn,2,504,TA,Gd,145000
211,TA,TA,No,Rec,468,Unf,0,396,864,1,0,1,0,2,1,TA,5,,,,0,0,,,98000
212,Gd,TA,Mn,GLQ,36,Unf,0,1176,1212,0,0,2,0,3,1,Gd,6,Attchd,2009.0,RFn,2,460,TA,TA,186000
213,Gd,TA,No,GLQ,822,Unf,0,78,900,1,0,2,1,3,1,Gd,7,Attchd,2009.0,RFn,2,644,TA,TA,252678
214,Gd,TA,No,ALQ,716,Unf,0,274,990,0,1,1,0,3,1,TA,5,Attchd,1996.0,Unf,2,576,TA,TA,156000
215,Gd,TA,No,GLQ,378,Unf,0,311,689,0,0,1,1,3,1,TA,6,Attchd,1977.0,Fin,1,299,TA,TA,161750
216,TA,TA,No,BLQ,360,Unf,0,710,1070,0,1,1,0,2,1,Gd,6,Attchd,1957.0,Unf,1,447,TA,TA,134450
217,Gd,TA,Mn,GLQ,946,Unf,0,490,1436,1,0,2,0,3,1,Gd,8,Attchd,2004.0,Unf,2,484,TA,TA,210000
218,TA,TA,No,Unf,0,Unf,0,686,686,0,0,1,0,3,1,TA,8,Detchd,1940.0,Unf,1,210,TA,TA,107000
219,TA,TA,No,BLQ,341,Unf,0,457,798,0,1,1,1,3,1,Gd,8,Attchd,1939.0,Unf,2,431,TA,TA,311500
220,Gd,TA,Av,GLQ,16,Unf,0,1232,1248,0,0,2,0,2,1,Gd,5,Attchd,2005.0,Fin,2,438,TA,TA,167240
221,Gd,TA,Mn,Unf,0,Unf,0,1498,1498,0,0,2,0,2,1,Gd,5,Attchd,2006.0,RFn,2,675,TA,TA,204900
222,Gd,TA,No,Unf,0,Unf,0,1010,1010,0,0,2,1,4,1,Gd,8,BuiltIn,2002.0,RFn,2,390,TA,TA,200000
223,Gd,TA,No,ALQ,550,Unf,0,163,713,1,0,2,1,3,1,TA,6,Attchd,1975.0,RFn,2,434,TA,TA,179900
224,TA,TA,No,ALQ,524,LwQ,180,160,864,0,0,1,0,2,1,TA,4,Detchd,1989.0,Unf,2,576,TA,TA,97000
225,Ex,TA,Gd,GLQ,56,Unf,0,2336,2392,0,0,2,0,3,1,Ex,8,Attchd,2003.0,Fin,3,968,TA,TA,386250
226,TA,TA,No,Unf,0,Unf,0,630,630,0,0,2,1,3,1,TA,6,Detchd,1991.0,Unf,1,280,TA,TA,112000
227,Gd,TA,No,GLQ,565,Unf,0,638,1203,0,0,2,1,4,1,Gd,9,Attchd,1995.0,RFn,3,721,TA,TA,290000
228,TA,TA,No,Rec,321,Unf,0,162,483,0,0,1,1,2,1,TA,5,Detchd,1987.0,Unf,1,280,TA,TA,106000
229,TA,TA,No,ALQ,842,Unf,0,70,912,0,0,1,0,3,1,TA,5,Detchd,1974.0,Unf,1,336,TA,TA,125000
230,Gd,TA,Av,GLQ,16,Unf,0,1357,1373,0,0,2,0,2,1,Gd,7,Attchd,2005.0,Fin,2,430,TA,TA,192500
231,TA,TA,No,Unf,0,Unf,0,1194,1194,1,0,1,0,3,1,TA,6,Attchd,1959.0,RFn,1,312,TA,TA,148000
232,Gd,TA,No,GLQ,689,Unf,0,773,1462,1,0,2,1,4,1,Ex,9,Attchd,1995.0,Fin,3,810,TA,TA,403000
233,TA,TA,No,Unf,0,Unf,0,483,483,0,0,1,1,2,1,TA,5,Attchd,1972.0,Unf,1,288,TA,TA,94500
234,TA,Gd,Av,LwQ,182,ALQ,712,0,894,1,0,1,0,3,1,TA,5,Attchd,1976.0,Unf,1,308,TA,TA,128200
235,Gd,TA,No,GLQ,625,Unf,0,235,860,1,0,2,1,4,1,Gd,8,BuiltIn,2002.0,Fin,2,440,TA,TA,216500
236,TA,TA,No,ALQ,358,Unf,0,125,483,0,0,1,1,2,1,TA,5,Detchd,1971.0,Unf,1,264,TA,TA,89500
237,Gd,TA,Av,GLQ,24,Unf,0,1390,1414,0,0,2,0,3,1,Gd,6,Attchd,2004.0,RFn,2,494,TA,TA,185500
238,Gd,TA,No,BLQ,402,Unf,0,594,996,0,0,2,1,3,1,Gd,7,Attchd,1993.0,RFn,2,457,TA,TA,194500
239,Ex,TA,No,Unf,0,Unf,0,1694,1694,0,0,2,0,3,1,Gd,7,Attchd,2007.0,Fin,3,818,TA,TA,318000
240,TA,Fa,No,LwQ,94,Unf,0,641,735,0,0,1,1,3,1,TA,7,Detchd,1949.0,Unf,1,220,TA,TA,113000
241,Gd,TA,Av,GLQ,1078,Unf,0,488,1566,1,0,2,0,3,1,Gd,7,Attchd,2008.0,RFn,2,750,TA,TA,262500
242,TA,TA,No,ALQ,329,Unf,0,357,686,0,0,1,0,2,1,Gd,4,,,,0,0,,,110500
243,TA,TA,No,Unf,0,Unf,0,540,540,0,0,1,0,3,1,TA,6,Attchd,1940.0,Unf,1,352,Fa,TA,79000
244,Gd,TA,No,Unf,0,Unf,0,626,626,0,0,1,1,3,1,TA,6,Attchd,1980.0,RFn,1,288,TA,TA,120000
245,Gd,TA,No,GLQ,695,Unf,0,253,948,1,0,2,1,3,1,Gd,8,Attchd,1994.0,RFn,2,463,TA,TA,205000
246,Gd,TA,Av,GLQ,929,Unf,0,916,1845,0,1,2,0,3,1,TA,6,Attchd,1988.0,Fin,2,604,TA,TA,241500
247,Fa,TA,No,Unf,0,Unf,0,1020,1020,0,0,2,0,4,2,Fa,9,Detchd,1910.0,Unf,1,440,Po,Po,137000
248,TA,TA,No,Unf,0,Unf,0,1367,1367,0,0,1,0,2,1,TA,5,Attchd,1954.0,Unf,2,451,TA,TA,140000
249,Gd,TA,No,Unf,0,Unf,0,840,840,0,0,2,1,3,1,Gd,8,Attchd,2003.0,RFn,2,500,TA,TA,180000
250,Gd,TA,Gd,Rec,697,Unf,0,747,1444,0,1,2,0,4,1,Gd,7,Attchd,1958.0,Fin,2,389,TA,TA,277000
251,TA,TA,No,Unf,0,Unf,0,728,728,0,0,1,0,3,1,Fa,6,,,,0,0,,,76500
252,Gd,TA,Gd,GLQ,1573,Unf,0,0,1573,1,1,2,0,2,1,Gd,5,Attchd,2006.0,Fin,2,538,TA,TA,235000
253,Gd,TA,No,Unf,0,Unf,0,798,798,0,0,2,1,3,1,Gd,6,Attchd,2004.0,RFn,2,520,TA,TA,173000
254,Gd,TA,Gd,LwQ,270,ALQ,580,452,1302,0,1,2,0,3,1,Gd,7,Attchd,1964.0,RFn,1,309,TA,TA,158000
255,TA,TA,No,Rec,922,Unf,0,392,1314,1,0,1,0,3,1,TA,5,Attchd,1957.0,RFn,1,294,TA,TA,145000
256,Gd,TA,No,Unf,0,Unf,0,975,975,0,0,2,1,4,1,Gd,8,BuiltIn,1999.0,Fin,2,429,TA,TA,230000
257,Gd,TA,No,Rec,503,Unf,0,361,864,0,0,2,1,3,1,Gd,7,Attchd,2003.0,RFn,2,673,TA,TA,207500
258,Gd,TA,No,GLQ,1334,Unf,0,270,1604,1,0,2,1,3,1,Gd,8,Attchd,2006.0,RFn,2,660,TA,TA,220000
259,Gd,TA,No,GLQ,361,Unf,0,602,963,0,0,2,1,3,1,Gd,7,Attchd,2001.0,RFn,2,564,TA,TA,231500
260,,,,,0,,0,0,0,0,0,1,0,2,1,TA,4,Detchd,1956.0,Unf,1,308,TA,TA,97000
261,TA,TA,Gd,Rec,672,ALQ,690,0,1362,1,0,1,0,3,1,TA,6,Attchd,1991.0,Unf,2,884,TA,TA,176000
262,Ex,TA,No,Unf,0,Unf,0,1482,1482,0,0,2,1,3,1,Ex,10,BuiltIn,2007.0,Fin,3,868,TA,TA,276000
263,Gd,Gd,Av,ALQ,506,Unf,0,0,506,1,0,1,0,3,1,TA,6,Attchd,1978.0,Unf,2,492,TA,TA,151000
264,TA,TA,No,LwQ,234,ALQ,692,0,926,1,0,1,0,3,1,TA,6,Detchd,1974.0,Unf,2,484,TA,TA,130000
265,Fa,TA,No,Unf,0,Unf,0,680,680,0,0,1,0,2,1,TA,4,Detchd,1965.0,Unf,2,504,TA,TA,73000
266,Gd,TA,No,GLQ,588,LwQ,228,606,1422,0,0,2,0,3,1,Gd,7,Attchd,1981.0,Fin,2,576,TA,TA,175500
267,Gd,TA,Av,GLQ,714,Unf,0,88,802,1,0,2,1,3,1,TA,8,Attchd,1997.0,Fin,2,413,TA,TA,185000
268,TA,TA,No,LwQ,378,Unf,0,342,720,0,0,2,1,4,1,Gd,8,Detchd,1939.0,Unf,1,240,TA,TA,179500
269,TA,TA,No,ALQ,403,Rec,125,212,740,0,0,1,0,2,1,TA,4,Detchd,1966.0,Fin,1,924,Ex,Ex,120500
270,TA,Gd,No,BLQ,751,Unf,0,392,1143,1,0,1,1,3,1,TA,6,Attchd,1987.0,RFn,1,504,TA,Gd,148000
271,Gd,TA,Mn,Unf,0,Unf,0,1095,1095,0,0,2,1,3,1,Gd,8,Attchd,2006.0,RFn,3,1053,TA,TA,266000
272,Gd,TA,Gd,LwQ,226,GLQ,1063,96,1385,1,0,1,0,2,1,TA,5,Attchd,1954.0,Unf,2,439,TA,TA,241500
273,Gd,TA,No,GLQ,524,Unf,0,628,1152,0,0,2,1,4,1,Gd,9,Attchd,1999.0,Fin,3,671,TA,TA,290000
274,TA,TA,No,Rec,620,LwQ,620,0,1240,1,0,2,0,3,1,TA,6,Attchd,1958.0,RFn,1,338,TA,TA,139000
275,TA,TA,Gd,ALQ,546,Unf,0,270,816,0,0,1,0,2,1,TA,5,Attchd,1982.0,Unf,1,264,TA,TA,124500
276,TA,TA,No,Unf,0,Unf,0,952,952,0,0,2,1,3,1,Ex,5,Detchd,1978.0,Unf,2,672,TA,TA,205000
277,Ex,TA,No,Unf,0,Unf,0,1560,1560,0,0,2,0,3,1,Gd,7,Attchd,2003.0,Fin,2,573,TA,TA,201000
278,TA,TA,No,LwQ,120,Unf,0,744,864,0,0,1,0,2,1,TA,4,Detchd,1951.0,Unf,2,400,TA,TA,141000
279,Ex,TA,Gd,Unf,0,Unf,0,2121,2121,0,0,2,1,3,1,Ex,8,Attchd,2007.0,Fin,3,732,TA,TA,415298
280,Gd,TA,No,BLQ,392,Unf,0,768,1160,0,0,2,1,4,1,TA,8,Attchd,1977.0,Fin,2,505,TA,TA,192000
281,Gd,TA,Av,GLQ,421,Unf,0,386,807,0,0,2,1,3,1,Gd,7,Attchd,1989.0,Fin,2,575,TA,TA,228500
282,Gd,TA,No,GLQ,905,Unf,0,357,1262,0,0,2,0,2,1,Gd,5,Attchd,2006.0,Fin,2,572,TA,TA,185000
283,Gd,TA,No,GLQ,904,Unf,0,410,1314,1,0,2,0,2,1,Gd,6,Attchd,2008.0,RFn,2,626,TA,TA,207500
284,Gd,TA,No,Unf,0,Unf,0,1468,1468,0,0,2,0,3,1,Gd,6,Attchd,2008.0,Fin,3,898,TA,TA,244600
285,Gd,TA,No,GLQ,430,Unf,0,1145,1575,1,0,2,0,2,1,Gd,5,Attchd,1992.0,RFn,2,529,TA,TA,179200
286,Gd,TA,No,Unf,0,Unf,0,625,625,0,0,2,1,2,1,Gd,5,Detchd,2006.0,RFn,2,528,TA,TA,164700
287,TA,TA,No,Rec,600,Unf,0,312,912,0,0,1,1,3,1,Gd,7,Attchd,1962.0,RFn,2,440,TA,TA,159000
288,TA,TA,No,BLQ,614,Unf,0,244,858,0,0,1,0,3,1,TA,5,,,,0,0,,,88000
289,TA,TA,No,BLQ,450,Unf,0,432,882,0,0,1,0,3,1,TA,5,Detchd,1970.0,Unf,1,280,TA,TA,122000
290,TA,TA,No,Unf,0,Unf,0,698,698,0,0,1,0,3,1,TA,7,Detchd,2003.0,Unf,1,384,TA,TA,153575
291,Gd,TA,Av,Unf,0,Unf,0,1079,1079,0,0,2,1,3,1,Gd,8,Attchd,2006.0,RFn,2,685,Gd,TA,233230
292,TA,Fa,No,Rec,210,Unf,0,570,780,1,0,2,0,6,1,Fa,9,,,,0,0,,,135900
293,TA,TA,No,LwQ,292,Unf,0,476,768,0,0,1,1,3,1,TA,8,Attchd,1949.0,Unf,1,281,TA,TA,131000
294,TA,TA,No,ALQ,795,Unf,0,0,795,1,0,2,1,3,1,Gd,9,Attchd,1977.0,Fin,2,539,TA,TA,235000
295,TA,TA,No,GLQ,1285,Unf,0,131,1416,1,0,1,0,3,1,TA,7,Attchd,1953.0,Fin,2,418,TA,TA,167000
296,TA,TA,Av,GLQ,819,Unf,0,184,1003,1,0,1,0,3,1,TA,6,Detchd,1984.0,Unf,2,588,TA,TA,142500
297,TA,TA,No,BLQ,420,Unf,0,490,910,0,0,1,1,4,1,TA,6,Attchd,1950.0,Unf,1,282,TA,TA,152000
298,Gd,TA,No,BLQ,649,Unf,0,326,975,0,0,2,1,3,1,Gd,7,Detchd,1997.0,RFn,2,576,TA,TA,239000
299,TA,TA,No,ALQ,384,Rec,175,143,702,0,1,1,2,3,1,TA,7,Attchd,1968.0,Unf,2,539,TA,TA,175000
300,TA,TA,No,Unf,0,Unf,0,1092,1092,0,1,1,0,3,1,Gd,6,Attchd,1950.0,Unf,1,300,TA,TA,158500
301,TA,TA,Mn,BLQ,841,Unf,0,324,1165,1,0,1,0,2,1,TA,5,Attchd,1953.0,Unf,1,375,TA,TA,157000
302,Gd,TA,No,GLQ,281,Unf,0,747,1028,0,0,2,1,4,1,Gd,9,BuiltIn,1998.0,Fin,2,683,TA,TA,267000
303,Gd,TA,No,Unf,0,Unf,0,1541,1541,0,0,2,0,3,1,Gd,6,Attchd,2001.0,RFn,3,843,TA,TA,205000
304,TA,TA,No,ALQ,894,Unf,0,0,894,1,0,1,0,3,1,TA,5,Attchd,1975.0,Unf,2,552,TA,TA,149900
305,TA,TA,No,Unf,0,Unf,0,1470,1470,0,0,3,0,3,1,Gd,10,Attchd,2003.0,Unf,3,870,TA,TA,295000
306,Gd,TA,No,GLQ,1464,Unf,0,536,2000,1,0,2,0,3,1,Gd,8,Attchd,2004.0,Fin,3,888,TA,TA,305900
307,Gd,TA,No,ALQ,700,Unf,0,0,700,1,0,2,1,4,1,Gd,8,Attchd,1990.0,RFn,3,746,TA,TA,225000
308,TA,TA,No,Unf,0,Unf,0,319,319,0,0,1,0,3,1,Fa,6,,,,0,0,,,89500
309,TA,TA,No,BLQ,262,Unf,0,599,861,0,0,1,0,1,1,TA,4,Detchd,1961.0,Unf,2,539,TA,TA,82500
310,Ex,TA,Gd,GLQ,1274,Unf,0,622,1896,1,0,2,0,3,1,Ex,8,Attchd,2003.0,Fin,3,708,TA,TA,360000
311,Gd,TA,No,ALQ,518,Unf,0,179,697,0,0,2,1,3,1,Gd,6,Attchd,1993.0,Fin,2,420,TA,TA,165600
312,TA,TA,No,ALQ,680,Unf,0,292,972,1,0,1,0,2,1,TA,5,Detchd,1948.0,Unf,1,240,TA,TA,132000
313,Gd,TA,Mn,Rec,507,Unf,0,286,793,1,0,1,0,3,1,TA,5,Detchd,1939.0,Unf,2,410,TA,TA,119900
314,Gd,TA,Gd,ALQ,1236,Rec,820,80,2136,2,0,2,0,3,1,TA,8,Attchd,1965.0,RFn,2,513,TA,TA,375000
315,TA,Gd,No,LwQ,16,Unf,0,712,728,0,1,1,1,3,1,Ex,6,Detchd,1925.0,Unf,2,546,Fa,TA,178000
316,Gd,TA,No,GLQ,425,Unf,0,291,716,1,0,2,1,3,1,Gd,6,Attchd,2004.0,Fin,2,432,TA,TA,188500
317,Gd,TA,No,GLQ,692,Unf,0,153,845,1,0,2,1,4,1,Ex,10,Attchd,1983.0,RFn,2,484,TA,TA,260000
318,Gd,TA,Av,Unf,0,Unf,0,1088,1088,0,0,2,1,3,1,Gd,8,Attchd,2006.0,RFn,3,1025,TA,TA,270000
319,Gd,TA,Gd,GLQ,987,Unf,0,360,1347,1,0,2,1,4,1,Gd,9,Attchd,1993.0,RFn,3,656,TA,TA,260000
320,Gd,TA,Av,GLQ,1036,Unf,0,336,1372,1,0,2,0,3,1,TA,6,Attchd,1980.0,Unf,2,588,TA,TA,187500
321,Ex,Gd,Av,Unf,0,Unf,0,1249,1249,0,0,3,1,4,1,Gd,9,Attchd,2006.0,RFn,3,840,TA,TA,342643
322,Ex,TA,Av,GLQ,970,Unf,0,166,1136,1,0,2,1,4,1,Gd,10,BuiltIn,2004.0,Fin,3,872,TA,TA,354000
323,TA,TA,Gd,LwQ,28,ALQ,1474,0,1502,1,0,2,1,4,1,Gd,8,Attchd,1987.0,Fin,2,576,TA,TA,301000
324,TA,TA,No,ALQ,256,Unf,0,906,1162,1,0,1,0,3,1,TA,6,Attchd,1955.0,Unf,1,220,Fa,TA,126175
325,Gd,TA,No,Unf,0,Unf,0,710,710,0,0,2,1,5,1,Gd,11,BuiltIn,1961.0,Fin,2,564,TA,TA,242000
326,TA,TA,Av,BLQ,116,Unf,0,604,720,0,0,1,0,2,1,TA,5,Detchd,1941.0,Unf,2,360,TA,TA,87000
327,Gd,TA,Gd,GLQ,1619,Unf,0,100,1719,2,0,1,1,1,1,Gd,6,Attchd,1993.0,Fin,2,473,TA,TA,324000
328,TA,TA,No,Rec,565,Unf,0,818,1383,0,0,1,1,3,1,TA,7,Attchd,1960.0,RFn,1,292,TA,TA,145250
329,TA,TA,No,Unf,0,Unf,0,844,844,0,0,2,0,5,1,Gd,10,Detchd,1930.0,Unf,2,441,TA,TA,214500
330,TA,TA,Mn,Unf,0,Unf,0,596,596,0,0,1,0,3,1,TA,6,Detchd,1920.0,Unf,1,189,Fa,Fa,78000
331,TA,TA,No,GLQ,40,Rec,264,1424,1728,0,1,2,0,6,2,TA,10,Detchd,2002.0,Unf,1,352,TA,TA,119000
332,TA,TA,No,Rec,846,Unf,0,210,1056,1,0,1,0,3,1,TA,6,Attchd,1958.0,RFn,1,308,TA,TA,139000
333,Gd,TA,No,GLQ,1124,,479,1603,3206,1,0,2,0,3,1,Gd,7,Attchd,2003.0,RFn,3,880,TA,TA,284000
334,Gd,TA,Av,GLQ,720,Unf,0,638,1358,1,0,2,0,2,1,Gd,6,Attchd,2004.0,RFn,2,484,TA,TA,207000
335,Gd,TA,Gd,GLQ,828,Unf,0,115,943,1,0,2,1,3,1,TA,7,Attchd,1998.0,Fin,2,472,TA,TA,192000
336,TA,TA,Gd,ALQ,1249,BLQ,147,103,1499,2,0,2,0,3,1,TA,7,Attchd,1965.0,Fin,2,529,TA,TA,228950
337,Ex,TA,Gd,GLQ,1249,Unf,0,673,1922,1,0,2,0,3,1,Gd,8,Attchd,2005.0,Fin,3,676,TA,TA,377426
338,Gd,TA,Av,GLQ,810,Unf,0,726,1536,1,0,2,0,3,1,Gd,7,Attchd,2002.0,RFn,2,532,TA,TA,214000
339,Gd,TA,Mn,ALQ,213,Unf,0,995,1208,1,0,2,0,3,1,Gd,8,Attchd,1984.0,RFn,2,440,TA,TA,202500
340,TA,Fa,No,Rec,585,Unf,0,630,1215,0,0,1,0,3,1,TA,6,Attchd,1958.0,Unf,1,297,TA,TA,155000
341,Gd,TA,No,Unf,0,Unf,0,967,967,0,0,2,1,4,1,Gd,9,Attchd,2002.0,Fin,2,431,TA,TA,202900
342,TA,Fa,No,Unf,0,Unf,0,721,721,0,0,1,0,2,1,TA,4,CarPort,1950.0,Unf,1,294,TA,TA,82000
343,,,,,0,,0,0,0,0,0,2,0,2,2,TA,6,Detchd,1949.0,Unf,2,400,TA,TA,87500
344,Ex,TA,No,GLQ,28,Unf,0,1656,1684,0,0,2,0,2,1,Ex,6,Attchd,2005.0,RFn,2,564,TA,TA,266000
345,Gd,TA,No,Rec,129,BLQ,232,175,536,0,0,1,1,3,1,TA,4,Attchd,1976.0,Unf,1,336,TA,TA,85000
346,TA,TA,No,Unf,0,Unf,0,972,972,0,0,1,0,3,1,Fa,6,Detchd,1939.0,Unf,1,312,TA,TA,140200
347,TA,TA,Mn,BLQ,498,Unf,0,460,958,0,0,1,0,2,1,TA,5,Attchd,1960.0,RFn,1,301,TA,TA,151500
348,TA,TA,No,BLQ,1270,Unf,0,208,1478,1,0,2,0,3,1,TA,6,Attchd,1960.0,Unf,2,498,TA,TA,157500
349,Gd,TA,No,GLQ,573,Unf,0,191,764,1,0,2,1,2,1,Gd,6,BuiltIn,2003.0,RFn,2,474,TA,TA,154000
350,Ex,TA,No,GLQ,1410,Unf,0,438,1848,1,0,2,1,4,1,Ex,10,Attchd,2006.0,Fin,3,706,TA,TA,437154
351,Ex,TA,No,Unf,0,Unf,0,1869,1869,0,0,2,0,2,1,Ex,6,Attchd,2007.0,RFn,2,617,TA,TA,318061
352,Gd,TA,Gd,GLQ,1082,Unf,0,371,1453,1,0,1,1,2,1,Gd,6,Attchd,1986.0,RFn,2,445,TA,TA,190000
353,TA,Fa,Mn,LwQ,236,Rec,380,0,616,0,1,1,0,3,1,TA,5,Detchd,1941.0,Unf,1,200,TA,Fa,95000
354,TA,TA,No,Unf,0,Unf,0,624,624,0,0,1,0,2,1,TA,5,Detchd,2005.0,Unf,2,484,TA,TA,105900
355,TA,TA,No,LwQ,388,Unf,0,552,940,0,0,1,0,2,1,TA,6,Attchd,1940.0,Unf,1,240,TA,TA,140000
356,Gd,Gd,No,ALQ,334,BLQ,544,322,1200,1,0,2,0,3,1,Gd,6,Attchd,1995.0,RFn,2,521,TA,TA,177500
357,Gd,TA,No,GLQ,560,Unf,0,598,1158,1,0,2,0,3,1,Gd,6,Attchd,1992.0,RFn,2,400,TA,TA,173000
358,Gd,TA,No,ALQ,874,Unf,0,268,1142,1,0,1,1,3,1,TA,6,Attchd,1976.0,Fin,2,528,TA,TA,134000
359,TA,TA,Av,BLQ,300,Rec,294,468,1062,0,1,1,0,3,1,Gd,6,BuiltIn,1958.0,Unf,1,288,TA,TA,130000
360,Gd,TA,Av,GLQ,956,Unf,0,130,1086,1,0,2,1,3,1,Gd,7,Attchd,1998.0,RFn,2,592,TA,TA,280000
361,Gd,TA,Av,GLQ,773,Unf,0,115,888,1,0,1,0,2,1,TA,5,Attchd,1978.0,RFn,2,470,TA,TA,156000
362,TA,TA,No,Rec,399,Unf,0,484,883,1,0,1,0,3,1,TA,8,Detchd,1940.0,Unf,1,240,TA,TA,145000
363,,,,,0,,0,0,0,0,0,3,0,4,1,Gd,7,BuiltIn,2003.0,RFn,2,672,TA,TA,198500
364,TA,TA,No,ALQ,162,Unf,0,321,483,0,0,1,1,2,1,Gd,5,Detchd,1972.0,Unf,1,264,TA,TA,118000
365,Gd,TA,Mn,GLQ,712,Unf,0,84,796,1,0,2,1,3,1,TA,6,Attchd,1976.0,Fin,2,566,TA,TA,190000
366,TA,Fa,No,Rec,456,Unf,0,216,672,0,0,1,0,3,1,TA,6,Detchd,1964.0,Unf,1,468,TA,Fa,147000
367,Gd,TA,No,BLQ,609,Unf,0,785,1394,1,0,1,1,3,1,TA,6,Attchd,1963.0,RFn,2,514,TA,TA,159000
368,Gd,TA,Gd,GLQ,371,Unf,0,728,1099,0,1,1,0,3,1,TA,6,Basment,1962.0,RFn,1,296,TA,TA,165000
369,TA,TA,No,LwQ,540,Unf,0,728,1268,0,0,1,0,2,1,TA,7,Attchd,1954.0,Fin,1,244,TA,TA,132000
370,TA,TA,No,ALQ,72,Rec,258,733,1063,1,0,1,0,3,1,Gd,7,Detchd,1997.0,Fin,2,576,TA,TA,162000
371,Gd,TA,No,Unf,0,Unf,0,953,953,0,0,2,1,3,1,TA,7,Attchd,2000.0,RFn,2,460,TA,TA,172400
372,,,,,0,,0,0,0,0,0,2,0,4,1,TA,7,Detchd,1991.0,Fin,2,680,TA,TA,134432
373,Gd,TA,No,ALQ,623,LwQ,121,0,744,1,0,1,0,2,1,TA,4,Attchd,1984.0,Unf,1,264,TA,TA,125000
374,TA,TA,No,BLQ,428,LwQ,180,0,608,1,0,1,0,3,1,TA,5,Attchd,1953.0,Unf,1,270,TA,TA,123000
375,Gd,TA,No,Unf,0,Unf,0,847,847,0,0,2,1,4,1,Gd,8,BuiltIn,2003.0,Fin,2,434,TA,TA,219500
376,Fa,Po,Gd,BLQ,350,Unf,0,333,683,1,0,0,1,1,1,Fa,4,,,,0,0,,,61000
377,Gd,TA,Av,GLQ,298,Unf,0,572,870,0,0,1,0,2,1,TA,5,Detchd,1998.0,Unf,2,576,TA,TA,148000
378,Gd,TA,No,Unf,0,Unf,0,1580,1580,0,0,3,0,4,1,Gd,8,Attchd,2004.0,RFn,2,610,TA,TA,340000
379,Ex,TA,Av,GLQ,1445,Unf,0,411,1856,1,0,1,1,1,1,Ex,8,Attchd,2010.0,Fin,3,834,TA,TA,394432
